section_id,s_node,e_node,length,direction,interval
13384,4546,4544,25.802,0,0.0
13385,4545,25003,53.401,0,0.21265967190265656
13386,21053,4545,405.4359999999999,1,0.0
13387,4545,21053,405.4359999999999,1,0.188615083694458
13388,25002,4545,36.549,0,0.1650409698486328
13389,4546,14996,67.36599999999999,0,0.0
13390,25003,4546,10.563,0,0.3537501096725464
13391,4547,15000,128.58700000000002,0,0.1056036651134491
13392,4547,4548,118.239,0,0.17650412023067474
13393,32720,4547,223.068,0,0.0
13394,4549,4548,123.53,0,0.016755491495132446
13395,21428,4549,16.686,0,0.4650718569755554
13396,4550,22038,233.122,0,0.39097335934638977
13397,4550,35743,665.625,0,0.20142614841461182
13398,4551,4550,223.348,0,0.0
13399,4552,4551,206.538,0,0.05680432915687561
13400,27527,4551,10.467,0,0.20628930628299713
13401,4553,4552,36.523,0,0.22846528887748718
13402,17246,4553,61.08800000000001,1,0.0
13403,4553,17246,61.08800000000001,1,0.22846528887748718
13404,7744,4553,37.911,0,0.0
13405,4554,4555,50.718,1,0.0776238739490509
13406,4555,4554,50.718,1,0.3991784155368805
13407,4554,37948,65.71600000000001,0,0.0
13408,4554,17253,248.831,1,0.048975974321365356
13409,17253,4554,248.831,1,0.13228480517864227
13410,31186,4554,201.82,0,0.0
13411,4556,4555,26.285,1,0.1560710072517395
13412,4555,4556,26.285,1,0.530562162399292
13413,4555,17255,146.73100000000005,0,0.2458210438489914
13414,4555,24036,147.651,0,0.2458210438489914
13415,17258,4556,105.539,0,0.17602849006652832
13416,4557,33019,164.983,0,0.11178787797689438
13417,4559,4560,6.685,0,0.0
13418,4560,26340,40.951,0,0.20283262431621552
13419,4561,22023,90.487,0,0.0312727689743042
13420,4561,22030,78.732,0,0.0312727689743042
13421,35629,4561,301.345,0,0.0
13422,4562,4563,18.036,0,0.26867491006851196
13423,27527,4562,224.989,0,0.13457445800304413
13424,4563,7745,27.49,0,0.08884627372026443
13425,11810,4564,578.2840000000001,1,0.09176111221313477
13426,4564,11810,578.2840000000001,1,0.0
13427,4564,4567,12.297,0,0.0
13428,4839,4564,3.2260000000000004,0,0.0
13429,4565,20636,28.557,0,0.27384912967681885
13430,4565,11887,376.359,0,0.22615200281143188
13431,4567,4565,10.187,0,0.0
13432,11330,4566,64.13600000000001,1,0.23795339465141296
13433,4566,11330,64.13600000000001,1,0.0
13434,4566,37170,82.00999999999998,0,0.0
13435,27659,4566,23.889,0,0.0
13436,31039,4566,22.323,0,0.0
13437,4569,4567,34.46,1,0.0
13438,4567,4569,34.46,1,0.0
13439,4567,4568,41.609,0,0.0
13440,4568,4570,116.79899999999998,0,0.0
13441,20636,4568,18.229,0,0.08484029769897461
13442,4569,4840,244.03500000000008,1,0.0
13443,4840,4569,244.03500000000008,1,0.01873326301574707
13444,4586,4569,201.941,1,0.0
13445,4569,4586,201.941,1,0.0
13446,4570,4587,99.01900000000002,0,0.05248849093914032
13447,4570,4571,86.37299999999998,0,0.04427441954612732
13448,4571,4836,535.1930000000001,0,0.0
13449,4571,4587,15.683,0,0.0
13450,4572,24071,23.215000000000003,0,0.0
13451,4572,28798,113.741,0,0.0
13452,23435,4572,135.82999999999998,0,0.0
13453,4573,38360,54.143,0,0.0926429033279419
13454,4574,4573,38.112,0,0.01879464089870453
13455,4587,4573,30.58,0,0.0
13456,4574,11884,13.76,0,0.0
13457,27662,4574,15.988,0,0.09896320104598999
13458,30650,4574,75.48200000000001,0,0.006218805909156799
13459,4575,4838,55.698,0,0.034108664840459824
13460,4575,4839,62.19800000000001,0,0.03370380029082298
13461,11882,4575,31.181,0,0.2561613917350769
13462,41559,4576,32.276999999999994,0,0.0
13463,4577,4583,77.14399999999998,1,0.10807594656944275
13464,4583,4577,77.14399999999998,1,0.0
13465,4578,4577,10.121,1,0.11947885900735855
13466,4577,4578,10.121,1,0.10807594656944275
13467,4577,11958,200.837,1,0.10807594656944275
13468,11958,4577,200.837,1,0.032884445041418076
13469,4579,4586,310.374,1,0.0
13470,4586,4579,310.374,1,0.0
13471,4581,4580,246.524,1,0.0
13472,4580,4581,246.524,1,0.0
13473,4580,4829,67.13600000000001,1,0.0
13474,4829,4580,67.13600000000001,1,0.08128190040588379
13475,4580,12028,60.292,1,0.0
13476,12028,4580,60.292,1,0.0
13477,12026,4580,246.63,1,0.03547266125679016
13478,4580,12026,246.63,1,0.0
13479,4826,4581,486.87400000000014,1,0.0
13480,4581,4826,486.87400000000014,1,0.0
13481,4581,38707,201.287,1,0.001297973096370697
13482,38707,4581,201.287,1,0.039685070514678955
13483,4582,4583,108.961,0,0.0
13484,4582,20644,70.931,1,0.0
13485,20644,4582,70.931,1,0.0
13486,20643,4582,83.50800000000002,0,0.0
13487,4583,34245,29.562,0,0.0
13488,4584,11899,38.59,1,0.0
13489,11899,4584,38.59,1,0.0
13490,11898,4584,120.208,1,0.0
13491,4584,11898,120.208,1,0.0
13492,34246,4584,100.294,0,0.23753954470157623
13493,4840,4585,2.452,1,0.01873326301574707
13494,4585,4840,2.452,1,0.0438438281416893
13495,4586,4840,56.011,1,0.0
13496,4840,4586,56.011,1,0.01873326301574707
